1	S318		0.50461
2	S493		0.50540
3	S217		0.59364
4	S392		0.59710
5	S390		0.60265
102	S169		0.93630	
103	S34		0.60965	
103	S478		0.39240	
104	S471		0.96263	
104	S222		0.03945	
105	S289		0.86815	
105	S91		0.13403	
106	S194		0.44324	
106	S21		0.55891	
107	S331		0.53298	
107	S268		0.46913	
108	S413		0.57784	
108	S363		0.42421	
109	S375		0.64602	
109	S238		0.35620	
110	S30		0.61490	
110	S424		0.38750	
111	S207		0.69771	
111	S441		0.30460	
112	S488		0.51815	
112	S195		0.48420	
113	S342		0.06470	
113	S381		0.93777	
114	S402		0.32321	
114	S66		0.67962	
115	S240		0.63530	
115	S258		0.36743	
116	S247		0.61236	
116	S347		0.39038	
117	S440		0.58049	
117	S354		0.42243	
118	S110		0.26375	
118	S498		0.73945	
119	S495		0.11420	
119	S44		0.88921	
120	S134		0.15647	
120	S213		0.84700	
121	S105		0.71093	
121	S232		0.29265	
122	S120		0.51475	
122	S299		0.48876	
123	S383		0.74849	
123	S357		0.25509	
124	S45		0.22734	
124	S359		0.71865	
124	S89		0.05775	
125	S278		0.09141	
125	S193		0.91229	
126	S320		0.76836	
126	S261		0.23530	
127	S138		0.43917	
127	S259		0.56471	
128	S118		0.05908	
128	S115		0.94483	
129	S22		0.24295	
129	S335		0.76093	
130	S161		0.77537	
130	S241		0.22869	
131	S280		0.81300	
131	S131		0.19099	
132	S322		0.16521	
132	S265		0.83897	
133	S250		0.54496	
133	S486		0.45916	
134	S327		0.51057	
134	S171		0.49353	
135	S143		0.61687	
135	S400		0.38742	
136	S211		0.05741	
136	S219		0.67624	
136	S469		0.27076	
137	S489		0.57865	
137	S387		0.42567	
138	S178		0.67302	
138	S447		0.33153	
139	S41		0.86691	
139	S84		0.13765	
140	S458		0.05817	
140	S257		0.12240	
140	S174		0.82398	
141	S79		0.87244	
141	S284		0.13234	
142	S164		0.81829	
142	S177		0.18654	
143	S200		0.55146	
143	S188		0.45333	
144	S310		0.60586	
144	S180		0.39895	
145	S32		0.64812	
145	S351		0.35691	
146	S267		0.16266	
146	S53		0.84228	
147	S49		0.60514	
147	S92		0.40006	
148	S260		0.10813	
148	S242		0.82725	
148	S408		0.06977	
149	S235		0.07357	
149	S434		0.93166	
150	S419		0.51215	
150	S290		0.49300	
151	S210		0.12055	
151	S324		0.67858	
151	S334		0.20632	
152	S163		0.74862	
152	S406		0.25679	
153	S155		0.16611	
153	S304		0.83924	
154	S389		0.54027	
154	S269		0.46508	
155	S165		0.09741	
155	S54		0.90790	
156	S25		0.87003	
156	S395		0.13552	
157	S337		0.58866	
157	S379		0.41682	
158	S477		0.14798	
158	S157		0.85773	
159	S470		0.06382	
159	S148		0.52388	
159	S432		0.41805	
160	S64		0.47982	
160	S263		0.52583	
161	S198		0.58779	
161	S448		0.41786	
162	S485		0.45337	
162	S358		0.55229	
163	S227		0.57623	
163	S205		0.42953	
164	S491		0.70406	
164	S246		0.30164	
165	S82		0.29113	
165	S12		0.71490	
166	S8		0.06241	
166	S197		0.21042	
166	S56		0.73323	
167	S349		0.81126	
167	S282		0.19477	
168	S124		0.81100	
168	S108		0.19517	
169	S162		0.56184	
169	S135		0.44426	
170	S409		0.23256	
170	S128		0.67744	
170	S204		0.09608	
171	S330		0.57189	
171	S149		0.43432	
172	S374		0.76242	
172	S416		0.24380	
173	S410		0.32044	
173	S404		0.68602	
174	S316		0.81657	
174	S487		0.18988	
175	S451		0.31766	
175	S422		0.68890	
176	S140		0.51463	
176	S80		0.49212	
177	S117		0.28224	
177	S226		0.72466	
178	S113		0.76271	
178	S65		0.24413	
179	S81		0.37030	
179	S36		0.63652	
180	S475		0.62075	
180	S297		0.38618	
181	S19		0.67258	
181	S393		0.33445	
182	S309		0.06081	
182	S127		0.41909	
182	S142		0.52718	
183	S59		0.09540	
183	S293		0.91170	
184	S369		0.29236	
184	S0		0.71476	
185	S5		0.91918	
185	S72		0.08806	
186	S295		0.60429	
186	S176		0.40312	
187	S2		0.65705	
187	S9		0.35048	
188	S26		0.51041	
188	S119		0.49706	
189	S336		0.82429	
189	S364		0.18317	
190	S76		0.30084	
190	S463		0.70658	
191	S365		0.57273	
191	S50		0.43477	
192	S37		0.78563	
192	S109		0.22225	
193	S133		0.10103	
193	S185		0.90684	
194	S212		0.55444	
194	S464		0.45339	
195	S472		0.93014	
195	S433		0.07788	
196	S107		0.14756	
196	S99		0.86044	
197	S306		0.62510	
197	S344		0.38284	
198	S317		0.62419	
198	S450		0.38375	
199	S394		0.31311	
199	S417		0.69486	
200	S23		0.85495	
200	S214		0.15320	
201	S43		0.23741	
201	S116		0.73567	
201	S183		0.03499	
202	S239		0.78684	
202	S474		0.22128	
203	S57		0.91994	
203	S18		0.08832	
204	S382		0.31751	
204	S170		0.69068	
205	S315		0.28869	
205	S356		0.71942	
206	S85		0.11990	
206	S249		0.88850	
207	S68		0.91521	
207	S401		0.09311	
208	S455		0.06606	
208	S175		0.11430	
208	S305		0.82821	
209	S231		0.59834	
209	S380		0.41019	
210	S436		0.96395	
210	S201		0.04460	
211	S355		0.53995	
211	S136		0.46858	
212	S483		0.65846	
212	S69		0.35009	
213	S94		0.82428	
213	S209		0.18439	
214	S20		0.62289	
214	S151		0.38574	
215	S291		0.73485	
215	S42		0.27374	
216	S111		0.31548	
216	S192		0.69311	
217	S144		0.83580	
217	S459		0.05880	
217	S234		0.11403	
218	S166		0.59797	
218	S403		0.41074	
219	S237		0.64284	
219	S223		0.36590	
220	S361		0.66776	
220	S137		0.34091	
221	S466		0.93676	
221	S233		0.07197	
222	S52		0.95718	
222	S73		0.05195	
223	S264		0.67889	
223	S181		0.29512	
223	S196		0.03504	
224	S371		0.05513	
224	S270		0.70022	
224	S445		0.25377	
225	S184		0.15958	
225	S6		0.84975	
226	S33		0.65995	
226	S121		0.34958	
227	S373		0.11680	
227	S412		0.89274	
228	S67		0.14998	
228	S456		0.82695	
228	S325		0.03258	
229	S286		0.16172	
229	S58		0.84797	
230	S388		0.89279	
230	S319		0.10083	
230	S479		0.01606	
231	S248		0.27391	
231	S28		0.73593	
232	S47		0.77478	
232	S220		0.23500	
233	S141		0.67468	
233	S326		0.32462	
233	S182		0.01057	
234	S103		0.51827	
234	S206		0.45743	
234	S11		0.03410	
235	S307		0.08961	
235	S16		0.92017	
236	S368		0.26279	
236	S130		0.74703	
237	S328		0.71900	
237	S399		0.26379	
237	S199		0.02707	
238	S340		0.92380	
238	S426		0.06097	
238	S216		0.02510	
239	S348		0.81012	
239	S341		0.19737	
239	S274		0.00235	
240	S350		0.56538	
240	S421		0.42747	
240	S481		0.01698	
241	S367		0.87983	
241	S255		0.10185	
241	S147		0.02809	
242	S398		0.97880	
242	S251		0.03099	
243	S492		0.76218	
243	S150		0.24762	
244	S311		0.09607	
244	S442		0.91177	
244	S360		0.00215	
245	S254		0.72417	
245	S245		0.23508	
245	S279		0.04968	
245	S27		0.00099	
246	S74		0.97047	
246	S71		0.03948	
247	S95		0.78124	
247	S236		0.22137	
247	S425		0.00735	
248	S101		0.71740	
248	S332		0.27312	
248	S405		0.01937	
249	S114		0.87509	
249	S296		0.10491	
249	S329		0.02989	
250	S462		0.10432	
250	S431		0.03960	
250	S314		0.86266	
250	S228		0.00335	
251	S156		0.62315	
251	S465		0.38498	
251	S468		0.00187	
252	S323		0.75091	
252	S172		0.25907	
253	S353		0.99535	
253	S98		0.01106	
253	S429		0.00357	
254	S435		0.78135	
254	S256		0.21564	
254	S139		0.01295	
255	S443		0.53858	
255	S154		0.47011	
255	S287		0.00131	
256	S453		0.55876	
256	S87		0.43993	
256	S97		0.01127	
257	S484		0.83992	
257	S62		0.14797	
257	S215		0.02204	
